,0
747,8.880144e-10
748,-1.130290e-09
749,0.000000e+00
750,-7.954489e-03
751,2.669459e-09
752,-1.071956e-09
753,1.053231e-09
754,-7.426634e-10
755,3.725641e-10
756,8.079064e-10
757,-7.645080e-10
758,-2.228631e-10
759,1.011242e-09
760,-6.782782e-10
761,-1.018114e-09
762,3.856482e-09
763,-1.433041e-09
764,2.785047e-10
765,5.807890e-10
766,6.427226e-10
767,-7.486258e-10
768,1.198740e-09
769,-1.441220e-09
770,5.758967e-10
771,6.057708e-10
772,-1.201436e-09
773,1.078244e-09
774,7.176767e-10
775,-5.494496e-10
776,-8.427883e-10
777,-7.690601e-10
778,1.379327e-09
779,-8.373311e-10
780,2.108898e-10
781,-3.508653e-10
782,1.478873e-09
783,-7.195566e-10
784,2.325251e-10
785,-5.858645e-11
786,-1.302622e-09
787,1.153303e-09
788,0.000000e+00
789,-2.170180e-04
790,-1.194892e-09
791,1.057779e-09
792,2.232229e-10
793,-4.624819e-10
794,5.212303e-10
795,-2.878347e-10
796,3.572916e-10
797,-3.733727e-10
798,9.787036e-11
799,3.781536e-10
800,-3.274803e-10
801,-1.240026e-09
802,-2.222614e-10
803,7.995585e-10
804,9.573098e-10
805,1.494369e-09
806,-1.037621e-09
807,-9.308896e-10
808,1.035851e-09
809,2.757232e-10
810,3.295693e-10
811,-1.272320e-10
812,-9.580993e-10
813,7.284631e-10
814,-1.217375e-09
815,1.744552e-09
816,4.248470e-10
817,-8.842684e-10
818,8.703605e-10
819,-1.305368e-09
820,-4.805711e-10
821,1.324439e-10
822,-3.398629e-10
823,1.825988e-09
824,-1.303630e-09
825,6.329853e-10
826,0.000000e+00
827,1.273525e-03
828,9.592512e-10
829,-7.050715e-10
830,2.849267e-10
831,1.659959e-10
832,-1.173145e-10
833,-7.992430e-10
834,-6.312185e-10
835,7.647937e-10
836,-6.797352e-10
837,-6.063623e-11
838,-5.562640e-11
839,2.008887e-09
840,1.938907e-09
841,-8.879421e-10
842,3.590242e-10
843,-1.805374e-10
844,2.738303e-10
845,1.189833e-09
846,-2.816722e-10
847,-6.267511e-10
848,-1.426267e-10
849,4.723982e-10
850,3.579494e-10
851,-1.169981e-09
852,-4.822860e-10
853,3.552691e-10
854,8.535478e-10
855,4.743911e-10
856,-1.638882e-09
857,1.544885e-09
858,-5.610810e-10
859,5.462600e-10
860,-1.834346e-09
861,4.245654e-10
862,-1.950434e-11
863,-1.609551e-09
864,8.617442e-10
865,-5.747942e-10
866,0.000000e+00
867,3.746078e-03
868,-1.737396e-09
869,1.110064e-09
870,-4.932483e-10
871,9.547687e-10
872,6.233057e-10
873,-9.201360e-10
874,-7.841627e-10
875,2.100840e-10
876,8.798701e-10
877,-1.006916e-09
878,5.033541e-10
879,2.254646e-09
880,-1.960160e-09
881,-7.963952e-10
882,1.177184e-09
883,3.008547e-10
884,-2.462299e-10
885,5.380699e-10
886,-3.679803e-10
887,5.586633e-11
888,2.933009e-10
889,4.322457e-11
890,2.140490e-10
891,-2.341291e-10
892,3.005527e-10
893,-8.789363e-11
894,-5.990390e-10
895,6.177862e-10
896,-1.131141e-09
897,1.144054e-09
898,-8.872482e-10
899,-1.060244e-11
900,9.719487e-11
901,8.819786e-11
902,4.417721e-10
903,9.019833e-11
904,0.000000e+00
905,-2.333383e-04
906,1.679291e-10
907,1.520131e-09
908,-1.120755e-09
909,-7.107399e-10
910,4.932740e-10
911,-9.510163e-11
912,-8.055355e-10
913,5.711480e-10
914,-1.137070e-10
915,-1.630426e-09
916,3.426539e-09
917,-2.138930e-09
